Id,Name,team,position,height,weight,age
1,Adam Donachie,BAL,Catcher,74,180,22.99
2,Paul Bako,BAL,Catcher,74,215,34.69
3,Ramon Hernandez,BAL,Catcher,72,210,30.78
4,Kevin Millar,BAL,First Baseman,72,210,35.43
5,Chris Gomez,BAL,First Baseman,73,188,35.71
6,Brian Roberts,BAL,Second Baseman,69,176,29.39
7,Miguel Tejada,BAL,Shortstop,69,209,30.77
8,Melvin Mora,BAL,Third Baseman,71,200,35.07
9,Aubrey Huff,BAL,Third Baseman,76,231,30.19
10,Adam Stern,BAL,Outfielder,71,180,27.05
11,Jeff Fiorentino,BAL,Outfielder,73,188,23.88
12,Freddie Bynum,BAL,Outfielder,73,180,26.96
13,Nick Markakis,BAL,Outfielder,74,185,23.29
14,Brandon Fahey,BAL,Outfielder,74,160,26.11
15,Corey Patterson,BAL,Outfielder,69,180,27.55
16,Jay Payton,BAL,Outfielder,70,185,34.27
17,Jay Gibbons,BAL,Designated Hitter,72,197,30
18,Erik Bedard,BAL,Starting Pitcher,73,189,27.99
19,Hayden Penn,BAL,Starting Pitcher,75,185,22.38
20,Adam Loewen,BAL,Starting Pitcher,78,219,22.89
21,Daniel Cabrera,BAL,Starting Pitcher,79,230,25.76
22,Steve Trachsel,BAL,Starting Pitcher,76,205,36.33
23,Jaret Wright,BAL,Starting Pitcher,74,230,31.17
24,Kris Benson,BAL,Starting Pitcher,76,195,32.31
25,Scott Williamson,BAL,Relief Pitcher,72,180,31.03
26,John Parrish,BAL,Relief Pitcher,71,192,29.26
27,Danys Baez,BAL,Relief Pitcher,75,225,29.47
28,Chad Bradford,BAL,Relief Pitcher,77,203,32.46
29,Jamie Walker,BAL,Relief Pitcher,74,195,35.67
30,Brian Burres,BAL,Relief Pitcher,73,182,25.89
31,Kurt Birkins,BAL,Relief Pitcher,74,188,26.55
32,James Hoey,BAL,Relief Pitcher,78,200,24.17
33,Sendy Rleal,BAL,Relief Pitcher,73,180,26.69
34,Chris Ray,BAL,Relief Pitcher,75,200,25.13
35,Jeremy Guthrie,BAL,Relief Pitcher,73,200,27.9
36,A.J. Pierzynski,CWS,Catcher,75,245,30.17
37,Toby Hall,CWS,Catcher,75,240,31.36
38,Paul Konerko,CWS,First Baseman,74,215,30.99
39,Tadahito Iguchi,CWS,Second Baseman,69,185,32.24
40,Juan Uribe,CWS,Shortstop,71,175,27.61
41,Alex Cintron,CWS,Shortstop,74,199,28.2
42,Joe Crede,CWS,Third Baseman,73,200,28.85
43,Josh Fields,CWS,Third Baseman,73,215,24.21
44,Ryan Sweeney,CWS,Outfielder,76,200,22.02
45,Brian N. Anderson,CWS,Outfielder,74,205,24.97
46,Luis Terrero,CWS,Outfielder,74,206,26.78
47,Pablo Ozuna,CWS,Outfielder,70,186,32.51
48,Scott Podsednik,CWS,Outfielder,72,188,30.95
49,Jermaine Dye,CWS,Outfielder,77,220,33.09
50,Darin Erstad,CWS,Outfielder,74,210,32.74
51,Rob Mackowiak,CWS,Outfielder,70,195,30.69
52,Jim Thome,CWS,Designated Hitter,76,244,36.51
53,Jerry Owens,CWS,Designated Hitter,75,195,26.03
54,Charlie Haeger,CWS,Starting Pitcher,73,200,23.45
55,Heath Phillips,CWS,Starting Pitcher,75,200,24.94
56,Gavin Floyd,CWS,Starting Pitcher,76,212,24.09
57,Jose Contreras,CWS,Starting Pitcher,76,224,35.23
58,Jon Garland,CWS,Starting Pitcher,78,210,27.43
59,Javier Vazquez,CWS,Starting Pitcher,74,205,30.6
60,Mark Buehrle,CWS,Starting Pitcher,74,220,27.94
61,Mike MacDougal,CWS,Relief Pitcher,76,195,29.99
62,David Aardsma,CWS,Relief Pitcher,77,200,25.17
63,Andrew Sisco,CWS,Relief Pitcher,81,260,24.13
64,Matt Thornton,CWS,Relief Pitcher,78,228,30.46
65,Bobby Jenks,CWS,Relief Pitcher,75,270,25.96
66,Boone Logan,CWS,Relief Pitcher,77,200,22.55
67,Sean Tracey,CWS,Relief Pitcher,75,210,26.29
68,Nick Masset,CWS,Relief Pitcher,76,190,24.79
69,Jose Molina,ANA,Catcher,74,220,31.74
70,Jeff Mathis,ANA,Catcher,72,180,23.92
71,Mike Napoli,ANA,Catcher,72,205,25.33
72,Casey Kotchman,ANA,First Baseman,75,210,24.02
73,Kendry Morales,ANA,First Baseman,73,220,23.7
74,Shea Hillenbrand,ANA,First Baseman,73,211,31.59
75,Robb Quinlan,ANA,First Baseman,73,200,29.95
76,Howie Kendrick,ANA,First Baseman,70,180,23.64
77,Orlando Cabrera,ANA,Shortstop,70,190,32.33
78,Erick Aybar,ANA,Shortstop,70,170,23.13
79,Dallas McPherson,ANA,Third Baseman,76,230,26.6
80,Maicer Izturis,ANA,Third Baseman,68,155,26.46
81,Reggie Willits,ANA,Outfielder,71,185,25.75
82,Tommy Murphy,ANA,Outfielder,72,185,27.51
83,Terry Evans,ANA,Outfielder,75,200,25.11
84,Gary Matthews Jr.,ANA,Outfielder,75,225,32.51
85,Garret Anderson,ANA,Outfielder,75,225,34.67
86,Vladimir Guerrero,ANA,Outfielder,75,220,31.06
87,Chone Figgins,ANA,Outfielder,68,160,29.1
88,Juan Rivera,ANA,Outfielder,74,205,28.66
89,John Lackey,ANA,Starting Pitcher,78,235,28.35
90,Bartolo Colon,ANA,Starting Pitcher,71,250,33.77
91,Kelvim Escobar,ANA,Starting Pitcher,73,210,30.89
92,Dustin Moseley,ANA,Starting Pitcher,76,190,37.74
93,Ervin Santana,ANA,Starting Pitcher,74,160,24.14
94,Joe Saunders,ANA,Starting Pitcher,74,200,25.71
95,Jered Weaver,ANA,Starting Pitcher,79,205,24.41
96,Chris Resop,ANA,Relief Pitcher,75,222,24.32
97,Phil Seibel,ANA,Relief Pitcher,73,195,28.09
98,Justin Speier,ANA,Relief Pitcher,76,205,33.31
99,Darren Oliver,ANA,Relief Pitcher,74,220,36.4
100,Hector Carrasco,ANA,Relief Pitcher,74,220,37.36
101,Scot Shields,ANA,Relief Pitcher,73,170,31.61
102,Francisco Rodriguez,ANA,Relief Pitcher,72,185,25.14
103,Greg Jones,ANA,Relief Pitcher,74,195,30.29
104,Doug Mirabelli,BOS,Catcher,73,220,36.37
105,Jason Varitek,BOS,Catcher,74,230,34.89
106,George Kottaras,BOS,Catcher,72,180,23.79
107,Kevin Youkilis,BOS,First Baseman,73,220,27.96
108,Dustin Pedroia,BOS,Second Baseman,69,180,23.54
109,Alex Cora,BOS,Shortstop,72,180,31.37
110,Julio Lugo,BOS,Shortstop,73,170,31.29
111,Mike Lowell,BOS,Third Baseman,75,210,33.01
112,Wily Mo Pe?a,BOS,Outfielder,75,215,25.1
113,J.D. Drew,BOS,Outfielder,73,200,31.28
114,Manny Ramirez,BOS,Outfielder,72,213,34.75
115,Brandon Moss,BOS,Outfielder,72,180,23.46
116,David Murphy,BOS,Outfielder,76,192,25.37
117,Eric Hinske,BOS,Outfielder,74,235,29.57
118,Coco Crisp,BOS,Outfielder,72,185,27.33
119,David Ortiz,BOS,Designated Hitter,76,230,31.28
120,Curt Schilling,BOS,Starting Pitcher,77,235,40.29
121,Tim Wakefield,BOS,Starting Pitcher,74,210,40.58
122,Josh Beckett,BOS,Starting Pitcher,77,222,26.79
123,Matt Clement,BOS,Starting Pitcher,75,210,32.55
124,Jonathan Papelbon,BOS,Starting Pitcher,76,230,26.27
125,Kyle Snyder,BOS,Starting Pitcher,80,220,29.47
126,Devern Hansack,BOS,Starting Pitcher,74,180,29.07
